ano_eje,mes_eje,nivel_gobierno_nombre,sector_nombre,departamento_ejecutora_nombre,funcion_nombre,fuente_financiamiento_nombre,categoria_gasto_nombre,monto_devengado,tasa_giro
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,PESCA,RECURSOS ORDINARIOS,GASTO DE CAPITAL,16191.9,0
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,PESCA,RECURSOS ORDINARIOS,GASTO DE CAPITAL,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,EDUCACION,RECURSOS DETERMINADOS,GASTO DE CAPITAL,28213.4,130.277811252809
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,EDUCACION,RECURSOS DETERMINADOS,GASTO DE CAPITAL,62200,43.4083601286174
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,EDUCACION,RECURSOS DETERMINADOS,GASTO DE CAPITAL,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,TRANSPORTE,RECURSOS DETERMINADOS,GASTO DE CAPITAL,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,EDUCACION,RECURSOS DETERMINADOS,GASTO DE CAPITAL,91398.71,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS DETERMINADOS,GASTO DE CAPITAL,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,AGROPECUARIA,RECURSOS DETERMINADOS,GASTO DE CAPITAL,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,AGROPECUARIA,RECURSOS DETERMINADOS,GASTO DE CAPITAL,697078.17,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,1358.5,83.17997791682
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,AGROPECUARIA,RECURSOS ORDINARIOS,GASTO CORRIENTE,1800,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,5100,49.0196078431373
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,INDUSTRIA,RECURSOS ORDINARIOS,GASTO CORRIENTE,2769.06,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,0.47,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,PREVISION SOCIAL,RECURSOS ORDINARIOS,GASTO CORRIENTE,127077.63,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,TRANSPORTE,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,0,
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,1280.13,100
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,252,0
2024,9,GOBIERNOS REGIONALES,GOBIERNOS REGIONALES,AMAZONAS,SALUD,RECURSOS ORDINARIOS,GASTO CORRIENTE,117.96,100
